Timestamp,Gate_Voltage,Drain_Voltage,Drain_Current
17:33:34.886025,3,0.0,-1.613223e-08
17:33:36.345073,3,0.25,0.0005384245
17:33:38.202170,3,0.5,0.0009181044
17:33:39.296207,3,0.75,0.001140589
17:33:40.627543,3,1.0,0.00123637
17:33:41.722953,3,1.25,0.001269984
17:33:42.814509,3,1.5,0.001285007
17:33:43.909157,3,1.75,0.001294259
17:33:45.003344,3,2.0,0.001300921
17:33:46.095745,3,2.25,0.001306216
17:33:47.189483,3,2.5,0.001310724
17:33:48.285029,3,2.75,0.00131454
17:33:49.380059,3,3.0,0.001317995
17:33:50.475070,3,3.25,0.001321215
17:33:51.570727,3,3.5,0.001324081
