Timestamp,Data point,I,V
2025-02-26 16:16:51.097225,0,-2.928012e-09,-1.0
2025-02-26 16:16:51.097225,1,-2.905887e-09,-0.7333333333333334
2025-02-26 16:16:51.097225,2,-2.491024e-09,-0.4666666666666667
2025-02-26 16:16:51.097225,3,-1.985021e-09,-0.19999999999999996
2025-02-26 16:16:51.097225,4,4.711629e-09,0.06666666666666665
2025-02-26 16:16:51.097225,5,3.323518e-06,0.33333333333333326
2025-02-26 16:16:51.097225,6,0.0001253932,0.6000000000000001
2025-02-26 16:16:51.097225,7,0.0003463563,0.8666666666666667
2025-02-26 16:16:51.097225,8,0.0005888303,1.1333333333333333
2025-02-26 16:16:51.097225,9,0.0008396147,1.4
2025-02-26 16:16:51.097225,10,0.001094981,1.6666666666666665
2025-02-26 16:16:51.097225,11,0.001353,1.9333333333333331
2025-02-26 16:16:51.097225,12,0.001612707,2.2
2025-02-26 16:16:51.097225,13,0.001873349,2.466666666666667
2025-02-26 16:16:51.097225,14,0.002135987,2.7333333333333334
2025-02-26 16:16:51.097225,15,0.002398478,3.0
